DOUGLAS,OAKLAND,FULLER PARK,GRAND BOULEVARD,KENWOOD,WASHINGTON PARK,HYDE PARK,WOODLAWN,PORTAGE PARK,IRVING PARK,DUNNING,MONTCLARE,BELMONT CRAGIN,HERMOSA,AVONDALE,LOGAN SQUARE,HUMBOLDT PARK,WEST TOWN,AUSTIN,WEST GARFIELD PARK,EAST GARFIELD PARK,NEAR WEST SIDE,NORTH LAWNDALE,SOUTH LAWNDALE,LOWER WEST SIDE,NEAR SOUTH SIDE,ARMOUR SQUARE,NEAR NORTH SIDE,LOOP,SOUTH SHORE,NORTH CENTER,GARFIELD RIDGE,ARCHER HEIGHTS,BRIGHTON PARK,MCKINLEY PARK,LAKE VIEW,BRIDGEPORT,NEW CITY,WEST ELSDON,GAGE PARK,CLEARING,WEST LAWN,CHICAGO LAWN,WEST ENGLEWOOD,ENGLEWOOD,GREATER GRAND CROSSING,LINCOLN PARK
18238,5918,2876,21929,17841,11717,25681,23740,64124,53359,41932,13426,78743,25010,39262,72791,56323,82236,98514,18001,20567,54881,35912,79288,35769,21390,13391,80484,29283,52010,31867,34513,13393,45368,15612,94368,31977,44377,18109,39894,23139,33355,55628,35505,30654,32602,64116
8413,2440,1391,9456,7615,5058,12223,10637,31337,26674,20504,6592,39609,12566,20119,36805,27273,42058,45189,8302,9535,26974,16517,45395,18827,10159,6450,37337,14464,22742,15557,16792,6773,23367,7827,47000,15986,22391,9004,20477,11300,16723,26695,16468,13780,14333,30430
9825,3478,1485,12473,10226,6659,13458,13103,32787,26685,21428,6834,39134,12444,19143,35986,29050,40178,53325,9699,11032,27907,19395,33893,16942,11231,6941,43147,14819,29268,16310,17721,6620,22001,7785,47368,15991,21986,9105,19417,11839,16632,28933,19037,16874,18269,33686
1810,122,47,391,2942,87,11992,1623,34329,22234,29512,5041,11959,1913,11166,28514,2502,47051,4364,133,698,23042,492,3056,4447,10281,1642,58033,18359,724,24634,18372,2874,3682,2667,75845,11225,4697,3250,1892,11921,4924,2419,130,105,180,53138
13247,5567,2651,20645,12821,11370,7815,20605,856,1736,308,598,2493,757,991,3900,23030,6404,83837,17315,18696,17303,32835,10374,1108,6015,1419,8732,3361,49338,738,2040,130,542,234,3651,672,13148,255,2161,282,1390,27403,34178,29847,31590,2753
41,17,0,33,17,13,37,32,107,124,40,21,74,16,69,111,56,121,161,22,24,84,78,63,50,18,4,79,46,130,55,29,15,40,23,110,41,58,15,23,27,28,72,67,53,77,54
2313,35,7,57,973,12,3185,544,2972,3736,1587,377,1537,294,1194,1828,222,3106,573,8,83,8022,74,113,371,3307,9721,8140,4658,124,1449,346,138,2252,2445,5653,11038,727,222,121,212,210,190,19,34,21,3296
3,2,0,2,4,0,2,0,21,6,6,0,8,1,5,29,25,28,13,1,1,28,1,2,2,3,1,25,16,3,16,3,0,0,2,44,7,6,0,5,4,3,2,0,8,4,17
21,8,0,19,60,2,93,26,115,131,48,29,151,37,88,168,63,160,61,10,19,142,23,97,43,60,2,163,81,81,51,30,11,44,9,140,30,49,13,29,34,18,82,28,16,28,116
338,80,39,387,482,129,931,406,863,1060,434,112,420,132,454,946,379,1465,783,164,196,1212,265,126,262,504,138,1338,752,717,594,178,43,115,121,1727,337,261,40,74,175,113,319,309,266,314,1171
465,87,132,395,542,104,1626,504,24861,24332,9997,7248,62101,21860,25295,37295,30046,23901,8722,348,850,5048,2144,65457,29486,1202,464,3974,2010,893,4330,13515,10182,38693,10111,7198,8627,25431,14314,35589,10484,26669,25141,774,325,388,3571
33101,20934,15553,28203,39435,42221,45362,26134,52698,54469,61969,47644,42958,42569,46632,48773,29657,61713,32525,23254,24565,63289,25934,33732,34624,76301,27864,76673,78908,28772,83002,61966,42739,39366,42475,71314,42515,32384,51193,38978,54665,47027,37942,26846,19797,29705,84121
23791,19252,10432,23472,35911,13785,39056,18672,24336,27249,26282,22014,15461,15089,20039,31908,13781,43198,15957,10934,12961,44689,12034,10402,16444,59077,16148,88669,65526,19398,57123,26353,16134,13089,16954,60058,22694,12765,15754,12171,25113,16907,13231,11317,11888,17285,71551
5399,2350,1473,6425,3872,4933,4725,7288,7438,6990,4445,2054,14725,5127,6007,12229,19094,12089,28175,7507,8721,11306,15478,24342,9229,2952,5370,10382,4305,16175,2390,3037,1889,10707,2920,10758,6044,12869,2825,9335,2059,4970,15520,12214,14285,9650,7886
0.184,0.102,0.299,0.203,0.134,0.307,0.161,0.28,0.095,0.11,0.048,0.08,0.084,0.122,0.105,0.104,0.177,0.121,0.156,0.265,0.258,0.122,0.266,0.223,0.183,0.136,0.099,0.179,0.224,0.234,0.113,0.079,0.122,0.134,0.115,0.083,0.148,0.233,0.077,0.114,0.067,0.063,0.177,0.243,0.266,0.193,0.114
0.209,0.225,0.358,0.286,0.369,0.216,0.385,0.252,0.571,0.514,0.786,0.624,0.505,0.463,0.463,0.374,0.343,0.408,0.409,0.275,0.292,0.417,0.264,0.376,0.303,0.538,0.372,0.483,0.501,0.242,0.529,0.84,0.646,0.471,0.585,0.394,0.496,0.424,0.77,0.577,0.752,0.778,0.473,0.466,0.318,0.376,0.481
0.379,0.428,0.625,0.438,0.236,0.588,0.136,0.44,0.516,0.441,0.518,0.593,0.702,0.706,0.565,0.425,0.694,0.269,0.596,0.661,0.571,0.243,0.653,0.84,0.665,0.154,0.69,0.104,0.104,0.392,0.189,0.554,0.687,0.778,0.698,0.095,0.592,0.718,0.673,0.797,0.532,0.691,0.636,0.644,0.624,0.45,0.088
